question,intent
날씨,날씨
날씨 좋니,날씨
날씨 어때,날씨
날씨 어떠니,날씨
날씨 어떠냐,날씨
날씨 알려줘,날씨
날씨 알려주라,날씨
날씨 알려주세요,날씨
오늘 날씨 좋니,날씨
오늘 날씨 어때,날씨
오늘 날씨 어떠니,날씨
오늘 날씨 어떠냐,날씨
오늘 날씨 알려줘,날씨
오늘 날씨 알려주라,날씨
오늘 날씨 알려주세요,날씨
내일 날씨 좋니,날씨
내일 날씨 어때,날씨
내일 날씨 어떠니,날씨
내일 날씨 어떠냐,날씨
내일 날씨 알려줘,날씨
내일 날씨 알려주라,날씨
내일 날씨 알려주세요,날씨
이번주 날씨 어때,날씨
이번주 날씨 어떠니,날씨
이번주 날씨 어떠냐,날씨
이번주 날씨 알려줘,날씨
이번주 날씨 알려주라,날씨
이번주 날씨 알려주세요,날씨
다음주 날씨 어때,날씨
다음주 날씨 어떠니,날씨
다음주 날씨 어떠냐,날씨
이번주 날씨 알려줘,날씨
이번주 날씨 알려주라,날씨
이번주 날씨 알려주세요,날씨
맑니,날씨
맑냐,날씨
맑을까,날씨
날씨 맑니,날씨
날씨 맑냐,날씨
날씨 맑을까,날씨
오늘 날씨 맑니,날씨
오늘 날씨 맑냐,날씨
오늘 날씨 맑을까,날씨
내일 날씨 맑니,날씨
내일 날씨 맑냐,날씨
내일 날씨 맑을까,날씨
이번주 날씨 맑니,날씨
이번주 날씨 맑냐,날씨
이번주 날씨 맑을까,날씨
다음주 날씨 맑니,날씨
다음주 날씨 맑냐,날씨
다음주 날씨 맑을까,날씨
덥니,날씨
덥냐,날씨
더울까,날씨
날씨 덥니,날씨
날씨 덥냐,날씨
날씨 더울까,날씨
오늘 날씨 덥니,날씨
오늘 날씨 덥냐,날씨
오늘 날씨 더울까,날씨
내일 날씨 덥니,날씨
내일 날씨 덥냐,날씨
내일 날씨 더울까,날씨
이번주 날씨 덥니,날씨
이번주 낡씨 덥냐,날씨
이번주 날씨 더울까,날씨
다음주 날씨 덥니,날씨
다음주 날씨 덥냐,날씨
다음주 날씨 더울까,날씨
춥니,날씨
춥냐,날씨
추울까,날씨
날씨 춥니,날씨
날씨 춥냐,날씨
날씨 추울까,날씨
오늘 날씨 춥니,날씨
